InputSize,RuntimeSeconds
359000,0.0488714
360000,0.050797
361000,0.0483033
362000,0.0510472
363000,0.0485
364000,0.0528018
365000,0.0479423
366000,0.0535866
367000,0.0515814
368000,0.0631986
369000,0.050838
370000,0.0518696
371000,0.050602
372000,0.0527127
373000,0.0504162
374000,0.0682192
375000,0.0770307
376000,0.0553451
377000,0.0636539
378000,0.053115
379000,0.0549009
380000,0.0555255
381000,0.0510133
382000,0.0546197
383000,0.052303
384000,0.0614751
385000,0.0515699
386000,0.0594642
387000,0.0644377
388000,0.0526881
389000,0.0558939
390000,0.0548033
391000,0.0552047
392000,0.053014
393000,0.0693622
394000,0.0542884
395000,0.0698402
396000,0.0558801
397000,0.0539989
398000,0.0574923
399000,0.0554404
400000,0.0562544
401000,0.0537046
402000,0.0604267
403000,0.0544127
404000,0.0631349
405000,0.0771359
406000,0.0559279
407000,0.0585918
408000,0.061051
409000,0.0759506
410000,0.0618408
411000,0.0599134
412000,0.0616614
413000,0.0614121
414000,0.0624021
415000,0.0572643
416000,0.0617266
417000,0.0598853
418000,0.0711555
419000,0.059493
420000,0.0577239
421000,0.0689801
422000,0.0703638
423000,0.0589322
424000,0.0898094
425000,0.0728732
426000,0.063712
427000,0.05897
428000,0.0678616
429000,0.0594435
430000,0.0611574
431000,0.0600353
432000,0.0604009
433000,0.0783618
434000,0.0597356
435000,0.079514
436000,0.0623006
437000,0.0616921
438000,0.0712717
439000,0.0801655
440000,0.0715464
441000,0.062987
442000,0.0666494
443000,0.0615175
444000,0.0614927
445000,0.0623843
446000,0.061473
447000,0.0861977
448000,0.0647462
449000,0.0622808
450000,0.0732034
451000,0.0644274
452000,0.0616264
453000,0.0971588
454000,0.0650093
455000,0.0618688
456000,0.0769923
457000,0.0753981
458000,0.0638157
459000,0.065754
460000,0.0650095
461000,0.0626725
462000,0.0674552
463000,0.0632893
464000,0.0735062
465000,0.0745256
466000,0.0742421
467000,0.0773244
468000,0.078252
469000,0.086193
470000,0.0695801
471000,0.0673702
472000,0.0781314
473000,0.0798022
474000,0.0671386
475000,0.0759423
476000,0.0757829
477000,0.0663844
478000,0.0779365
479000,0.0688751
480000,0.0879369
481000,0.0732664
482000,0.0657462
483000,0.0676748
484000,0.0774159
485000,0.0679351
486000,0.0808396
487000,0.0781731
488000,0.0659832
489000,0.0679771
490000,0.0689823
491000,0.0682575
492000,0.0704363
493000,0.0678809
494000,0.0801833
495000,0.0793299
496000,0.070709
497000,0.071166
498000,0.069816
499000,0.0719395
500000,0.0701451
501000,0.0686505
502000,0.0713553
503000,0.0713173
504000,0.0735411
505000,0.0695634
506000,0.081599
507000,0.0942504
508000,0.07041
509000,0.0685342
510000,0.0978883
511000,0.0739481
512000,0.0709549
513000,0.0806484
514000,0.0752952
515000,0.0754826
516000,0.0712869
517000,0.0794121
518000,0.0827852
519000,0.072649
520000,0.096842
521000,0.0730094
522000,0.0785094
523000,0.0715954
524000,0.0818685
525000,0.0749818
526000,0.0739974
527000,0.0714999
528000,0.0785014
529000,0.073752
530000,0.088625
531000,0.0891192
532000,0.0866306
533000,0.0873428
534000,0.0756761
535000,0.0776337
536000,0.0852259
537000,0.0749254
538000,0.0762104
539000,0.0835308
540000,0.0762085
541000,0.0775879
542000,0.0831232
543000,0.0773383
544000,0.0994934
545000,0.0783458
546000,0.0774965
547000,0.0821602
548000,0.0793069
549000,0.0789019
550000,0.0767294
551000,0.0791035
552000,0.0788659
553000,0.0771992
554000,0.0791064
555000,0.08292
556000,0.0969724
557000,0.0795006
558000,0.0809724
559000,0.0793286
560000,0.0794746
561000,0.0782925
562000,0.0798629
563000,0.0800406
564000,0.0813572
565000,0.0846881
566000,0.0809287
567000,0.0799375
568000,0.1289239
569000,0.080957
570000,0.0872135
571000,0.0828017
572000,0.0815019
573000,0.0827395
574000,0.0819227
575000,0.0816205
576000,0.0823715
577000,0.0804326
578000,0.0861256
579000,0.0981413
580000,0.082449
581000,0.0815373
582000,0.0799835
583000,0.0869526
584000,0.109828
585000,0.0834742
586000,0.0825768
587000,0.0849917
588000,0.0864065
589000,0.0810557
590000,0.0815449
591000,0.1034725
592000,0.0892828
593000,0.0818405
594000,0.0855326
595000,0.085298
596000,0.0856004
597000,0.0833685
598000,0.0872007
599000,0.0938667
600000,0.0858906
601000,0.0881645
602000,0.0940908
603000,0.0850519
604000,0.08595
605000,0.0847432
606000,0.0842831
607000,0.0879691
608000,0.0896015
609000,0.088105
610000,0.1030916
611000,0.0871935
612000,0.0879309
613000,0.0945816
614000,0.0858417
615000,0.0875994
616000,0.0851881
617000,0.0880329
618000,0.0886337
619000,0.0877728
620000,0.0877362
621000,0.0971926
622000,0.0993279
623000,0.1106967
624000,0.0901928
625000,0.0881549
626000,0.0902005
627000,0.0882046
628000,0.0905837
629000,0.0908895
630000,0.0986009
631000,0.0889025
632000,0.0908134
633000,0.0873977
634000,0.1143914
635000,0.1023708
636000,0.1078915
637000,0.0907955
638000,0.0980511
639000,0.0909955
640000,0.0896871
641000,0.0942679
642000,0.1247824
643000,0.1054168
644000,0.096116
645000,0.1091919
646000,0.0913926
647000,0.0927594
648000,0.1061061
649000,0.1041
650000,0.0943823
651000,0.0975378
652000,0.0964868
653000,0.12102
654000,0.0946719
655000,0.094668
656000,0.1143531
657000,0.0972083
658000,0.0935393
659000,0.0987727
660000,0.1013805
661000,0.0980304
662000,0.0971061
663000,0.114087
664000,0.0966223
665000,0.0983661
666000,0.0994182
667000,0.113327
668000,0.0991103
669000,0.1027967
670000,0.1048818
671000,0.0994926
672000,0.1006808
673000,0.1172721
674000,0.1087589
675000,0.1021232
676000,0.1119837
677000,0.1211549
678000,0.0999013
679000,0.1126274
680000,0.1068916
681000,0.1412018
682000,0.1097244
683000,0.1075748
684000,0.1275143
685000,0.1043062
686000,0.1132714
687000,0.1195657
688000,0.1177918
689000,0.1269046
690000,0.1098565
691000,0.1063887
692000,0.1367833
693000,0.10948
694000,0.1045857
695000,0.1139709
696000,0.1090791
697000,0.1238269
698000,0.1253429
699000,0.1080302
700000,0.1182704
701000,0.1237755
702000,0.1140995
703000,0.1071
704000,0.1205165
705000,0.125823
706000,0.1390117
707000,0.1063881
708000,0.138284
709000,0.1056751
710000,0.1235002
711000,0.1153668
712000,0.1184818
713000,0.110417
714000,0.1538619
715000,0.1131526
716000,0.1157039
717000,0.1097264
718000,0.1173396
719000,0.1072378
720000,0.1075236
721000,0.1099643
722000,0.1147225
723000,0.1581436
724000,0.1090933
725000,0.1158898
726000,0.1076294
727000,0.1209569
728000,0.127254
729000,0.1219119
730000,0.1072905
731000,0.1179616
732000,0.1086779
733000,0.1136067
734000,0.1081891
735000,0.1210802
736000,0.1156653
737000,0.106821
738000,0.108822
739000,0.111271
740000,0.1241367
741000,0.1130684
742000,0.1077797
743000,0.1109178
744000,0.1067341
745000,0.1174099
746000,0.1089981
747000,0.1159639
748000,0.1335877
749000,0.1130727
750000,0.1102926
751000,0.1158273
752000,0.1283436
753000,0.1102177
754000,0.1125641
755000,0.1304802
756000,0.1214177
757000,0.123378
758000,0.1130995
759000,0.1169359
760000,0.1106212
761000,0.1108717
762000,0.1268508
763000,0.1278734
764000,0.1157802
765000,0.1440545
766000,0.1153689
767000,0.1126868
768000,0.1121121
769000,0.1274126
770000,0.1117427
771000,0.1128598
772000,0.1117084
773000,0.1319248
774000,0.1227081
775000,0.1309066
776000,0.1142343
777000,0.1131492
778000,0.1311515
779000,0.1129416
780000,0.1214592
781000,0.1246661
782000,0.1313451
783000,0.1157807
784000,0.1252889
785000,0.1114299
786000,0.1215987
787000,0.1180147
788000,0.1308237
789000,0.131608
790000,0.1197316
791000,0.1286639
792000,0.1375515
793000,0.1176789
794000,0.1184733
795000,0.1359669
796000,0.1393942
797000,0.1334975
798000,0.1206827
799000,0.1227773
800000,0.1167119
801000,0.1285907
802000,0.1175661
803000,0.1191564
804000,0.1509627
805000,0.124761
806000,0.1274806
807000,0.1309688
808000,0.1271992
809000,0.1210994
810000,0.1206987
811000,0.131517
812000,0.1425563
813000,0.1194932
814000,0.1268471
815000,0.1227631
816000,0.1274114
817000,0.1204758
818000,0.122827
819000,0.1230872
820000,0.1221389
821000,0.1218285
822000,0.1399858
823000,0.1381332
824000,0.1340422
825000,0.1255798
826000,0.1271736
827000,0.145579
828000,0.1215944
829000,0.1319922
830000,0.1233448
831000,0.1224274
832000,0.1333745
833000,0.1200494
834000,0.1308189
835000,0.1364012
836000,0.1447507
837000,0.14067
838000,0.130792
839000,0.1431234
840000,0.1345604
841000,0.1315786
842000,0.1490301
843000,0.1264566
844000,0.1286471
845000,0.1269164
846000,0.1471988
847000,0.1311108
848000,0.1306848
849000,0.1503447
