n,runtime
1000,0.0015807151794433594
2000,0.0019631385803222656
3000,0.0033600330352783203
4000,0.0
5000,0.003009319305419922
6000,0.008483171463012695
7000,0.006635904312133789
8000,0.0006875991821289062
9000,0.01578664779663086
10000,0.014192819595336914
11000,0.011709928512573242
12000,0.012679576873779297
13000,0.015060186386108398
14000,0.014323711395263672
15000,0.01924443244934082
16000,0.016062021255493164
17000,0.024266958236694336
18000,0.02088642120361328
19000,0.02227187156677246
20000,0.022655487060546875
21000,0.020999431610107422
22000,0.027570009231567383
23000,0.028307676315307617
24000,0.026877403259277344
25000,0.030321598052978516
26000,0.030783891677856445
27000,0.03565478324890137
28000,0.03353476524353027
29000,0.03552699089050293
30000,0.039759159088134766
31000,0.03404831886291504
32000,0.04192543029785156
33000,0.04110455513000488
34000,0.042008399963378906
35000,0.04198765754699707
36000,0.04864501953125
37000,0.040964603424072266
38000,0.04657244682312012
39000,0.0483098030090332
40000,0.048773765563964844
41000,0.04871678352355957
42000,0.04927706718444824
43000,0.0467991828918457
44000,0.06339430809020996
45000,0.049625396728515625
46000,0.04790186882019043
47000,0.05283379554748535
48000,0.06330418586730957
49000,0.0626976490020752
50000,0.05162310600280762
51000,0.06334996223449707
52000,0.06381511688232422
53000,0.06350088119506836
54000,0.05649423599243164
55000,0.08281660079956055
56000,0.06982684135437012
57000,0.07555723190307617
58000,0.07816004753112793
59000,0.0738065242767334
60000,0.07633686065673828
61000,0.07672667503356934
62000,0.07609343528747559
63000,0.08996105194091797
64000,0.08181548118591309
65000,0.08309650421142578
66000,0.08369565010070801
67000,0.07726097106933594
68000,0.09636354446411133
69000,0.09599709510803223
70000,0.0900113582611084
71000,0.08336591720581055
72000,0.10296988487243652
73000,0.0877070426940918
74000,0.09730100631713867
75000,0.1041879653930664
76000,0.09739160537719727
77000,0.10070681571960449
78000,0.10785865783691406
79000,0.1005856990814209
80000,0.10624313354492188
81000,0.11316680908203125
82000,0.09859943389892578
83000,0.10738277435302734
84000,0.11008405685424805
85000,0.11107468605041504
86000,0.11766266822814941
87000,0.1231989860534668
88000,0.1330411434173584
89000,0.11802172660827637
90000,0.1212151050567627
91000,0.12725830078125
92000,0.1249701976776123
93000,0.1256575584411621
94000,0.12507891654968262
95000,0.12705254554748535
96000,0.12768340110778809
97000,0.13199520111083984
98000,0.13195466995239258
99000,0.13274407386779785
100000,0.13195228576660156
101000,0.13489961624145508
102000,0.14056062698364258
103000,0.13697552680969238
104000,0.13614773750305176
105000,0.13735437393188477
106000,0.13883757591247559
107000,0.14167356491088867
108000,0.1418614387512207
109000,0.14670634269714355
110000,0.1572725772857666
111000,0.15180516242980957
112000,0.16067194938659668
113000,0.17154765129089355
114000,0.21109390258789062
115000,0.19250774383544922
116000,0.183668851852417
117000,0.20458388328552246
118000,0.19242310523986816
119000,0.19548845291137695
120000,0.19827938079833984
121000,0.2044508457183838
122000,0.20809197425842285
123000,0.1898658275604248
124000,0.1869368553161621
125000,0.19230365753173828
126000,0.1943051815032959
127000,0.19040894508361816
128000,0.19842767715454102
129000,0.20045900344848633
130000,0.19975900650024414
131000,0.2013840675354004
132000,0.20435047149658203
133000,0.19565558433532715
134000,0.22934508323669434
135000,0.21121621131896973
136000,0.21578216552734375
137000,0.21103596687316895
138000,0.2149507999420166
139000,0.21026849746704102
140000,0.2034013271331787
141000,0.21263456344604492
142000,0.24011898040771484
143000,0.22328782081604004
144000,0.22278428077697754
145000,0.2093219757080078
